id,fecha,hora,ciudad,tipo_cliente,tiempo_en_pagina,rebote,conversion,pais,pais_iso,latitud,longitud,articulo_id,descripcion
1.0,2024-01-01,00:00:00,Lisboa,Recurrente,174.0,1.0,1.0,Portugal,PT,38.7169,-9.1399,8.0,chándal estampado XS
2.0,2024-01-01,01:00:00,Coimbra,Nuevo,82.0,0.0,0.0,Portugal,PT,40.211,-8.4292,10.0,chándal estampado M
3.0,2024-01-01,02:00:00,Porto,Recurrente,177.0,0.0,0.0,Portugal,PT,41.1579,-8.6291,5.0,chándal dorado XL
4.0,2024-01-01,03:00:00,Sevilla,Recurrente,192.0,1.0,0.0,España,ES,37.3891,-5.9845,5.0,chándal dorado XL
5.0,2024-01-01,04:00:00,Coimbra,Recurrente,161.0,0.0,1.0,Portugal,PT,40.211,-8.4292,9.0,chándal estampado S
6.0,2024-01-01,05:00:00,Lisboa,Recurrente,161.0,0.0,0.0,Portugal,PT,38.7169,-9.1399,11.0,chándal estampado L
7.0,2024-01-01,06:00:00,Lisboa,Recurrente,193.0,0.0,0.0,Portugal,PT,38.7169,-9.1399,11.0,chándal estampado L
8.0,2024-01-01,07:00:00,Valencia,Nuevo,93.0,0.0,1.0,España,ES,39.4699,-0.3763,5.0,chándal dorado XL
9.0,2024-01-01,08:00:00,Barcelona,Recurrente,157.0,0.0,0.0,España,ES,41.3874,2.1686,1.0,chándal dorado XS
10.0,2024-01-01,09:00:00,Barcelona,Recurrente,175.0,1.0,0.0,España,ES,41.3874,2.1686,3.0,chándal dorado M
11.0,2024-01-01,10:00:00,Coimbra,Recurrente,157.0,1.0,1.0,Portugal,PT,40.211,-8.4292,14.0,chándal estampado XXXL
12.0,2024-01-01,11:00:00,Sevilla,Nuevo,78.0,0.0,0.0,España,ES,37.3891,-5.9845,5.0,chándal dorado XL
13.0,2024-01-01,12:00:00,Bilbao,Nuevo,87.0,0.0,0.0,España,ES,43.263,-2.935,8.0,chándal estampado XS
14.0,2024-01-01,13:00:00,Madrid,Recurrente,191.0,0.0,1.0,España,ES,40.4168,-3.7038,10.0,chándal estampado M
15.0,2024-01-01,14:00:00,Bilbao,Recurrente,134.0,1.0,1.0,España,ES,43.263,-2.935,2.0,chándal dorado S
16.0,2024-01-01,15:00:00,Coimbra,Recurrente,155.0,0.0,1.0,Portugal,PT,40.211,-8.4292,14.0,chándal estampado XXXL
17.0,2024-01-01,16:00:00,Valencia,Recurrente,147.0,0.0,0.0,España,ES,39.4699,-0.3763,4.0,chándal dorado L
18.0,2024-01-01,17:00:00,Bilbao,Recurrente,171.0,0.0,0.0,España,ES,43.263,-2.935,12.0,chándal estampado XL
19.0,2024-01-01,18:00:00,Valencia,Recurrente,149.0,1.0,1.0,España,ES,39.4699,-0.3763,4.0,chándal dorado L
